"st0" "st1" "yr0" "yr1" "lat" "lon" "annual_pp" "annual_mean_temp" "annual_min_temp" "annual_max_temp"
"7000406801" "M" "M" 1997 2008 -71.32034 45.748613 1230.5 4.48 -0.845 9.805
"7000407102" "B" "B" 1997 2010 -70.763531 45.787282 1170 4.105 -1.025 9.24
"7000407302" "M" "R" 1997 2010 -70.515194 45.803781 1149 4.02 -1.23 9.27
"7000407401" "R" "M" 1997 2010 -70.578599 45.798464 1140.5 4.205 -1.045 9.45
"7000407402" "R" "B" 1997 2010 -70.584403 45.799954 1132.5 4.3 -0.96 9.56
"7000407601" "M" "T" 1997 2010 -71.566259 45.79501 1204 4.43 -0.465 9.325
"7000407602" "M" "M" 1997 2010 -71.567508 45.799137 1203.5 4.435 -0.465 9.335
"7000407701" "M" "R" 1997 2010 -70.669805 45.832323 1136 4.34 -0.885 9.565
"7000407702" "M" "M" 1997 2010 -70.66688 45.835603 1127.5 4.425 -0.815 9.66
"7000407802" "R" "M" 1997 2010 -70.808661 45.829153 1197 3.83 -1.235 8.895
"7000408001" "R" "R" 1997 2009 -71.61623 45.833494 1189 4.055 -1.12 9.22
"7000408301" "M" "M" 1997 2009 -70.365806 45.866662 1255 1.665 -3.605 6.94
"7000408302" "M" "M" 1997 2009 -70.370942 45.867846 1250.5 1.715 -3.56 6.99
"7000408801" "R" "B" 1997 2009 -70.328435 45.915011 1200.5 2.17 -3.195 7.535
"7000408802" "R" "M" 1997 2009 -70.333975 45.916144 1200.5 2.175 -3.185 7.535
"7000408901" "R" "R" 1997 2009 -70.314477 45.933444 1172.5 2.45 -2.96 7.86
"7000409001" "M" "M" 1997 2009 -70.328326 45.983573 1156 2.69 -2.745 8.12
"7000409002" "R" "M" 1997 2009 -70.333326 45.982141 1153.5 2.715 -2.725 8.15
"7000409302" "M" "R" 1997 2010 -71.105487 45.99797 1144.5 4.54 -0.5 9.585
"7000409701" "M" "M" 1997 2010 -70.632352 46.050892 1076.5 4.695 -0.565 9.96
"7000409702" "M" "M" 1997 2010 -70.629205 46.047908 1075 4.715 -0.555 9.985
"7000409801" "M" "T" 1997 2010 -70.865252 46.050592 1129.5 4.375 -0.745 9.5
"7000409802" "M" "M" 1997 2010 -70.85996 46.049601 1136 4.305 -0.81 9.415
"7000410002" "T" "T" 1993 2010 -71.143763 46.082267 1314 3.725 -1.3 8.75
"7000410101" "M" "T" 1997 2010 -71.064043 46.101862 1157.5 4.28 -0.75 9.305
"7000410201" "R" "T" 1993 2009 -71.731672 46.100306 1312 3.73 -1.405 8.87
"7000410301" "M" "M" 1997 2003 -70.432737 46.116316 1108 2.645 -2.87 8.165
"7000410302" "T" "M" 1997 2003 -70.438184 46.115536 1104.5 2.7 -2.82 8.22
"7000410402" "R" "R" 1997 2003 -70.470451 46.115612 1096 2.87 -2.655 8.39
"7000410501" "R" "B" 1997 2005 -70.315854 46.132796 1206 2.615 -2.795 8.03
"7000410701" "M" "M" 1993 2010 -71.449169 46.132963 1330 3.715 -1.225 8.655
"7000410901" "M" "M" 1993 2010 -71.299383 46.149161 1325.5 3.65 -1.325 8.62
"7000411001" "T" "T" 1993 2009 -71.733919 46.149426 1257 4.29 -0.895 9.465
"7000411302" "T" "T" 1993 2009 -71.505197 46.198543 1354.5 3.175 -1.96 8.31
"7000411502" "R" "R" 1997 2003 -70.579213 46.229954 1102 3.25 -2.195 8.695
"7000411602" "M" "M" 1997 2010 -70.843704 46.234719 1059.5 4.965 -0.245 10.175
"7000411701" "T" "T" 1997 2010 -70.921036 46.231932 1121.5 4.405 -0.695 9.51
"7000412101" "R" "B" 1997 2010 -70.768584 46.282956 1065.5 4.84 -0.37 10.045
"7000412102" "M" "M" 1997 2010 -70.764728 46.279888 1092 4.535 -0.63 9.69
"7000412202" "M" "T" 1993 2010 -71.219711 46.286612 1281 3.965 -1.07 9
"7000412402" "T" "T" 1998 2003 -70.427304 46.301918 1121 3.915 -1.385 9.215
"7000412501" "M" "M" 1998 2010 -70.732747 46.299707 1109.5 5.415 0.455 10.385
"7000412701" "M" "M" 1997 2010 -71.015032 46.299836 1214.5 3.555 -1.4 8.51
"7000412901" "M" "M" 1998 2005 -70.465148 46.317465 1159.5 4.46 -0.78 9.69
"7000413001" "B" "B" 1998 2003 -70.355173 46.33378 1129.5 3.73 -1.575 9.04
"7000413002" "R" "R" 1998 2003 -70.349176 46.332495 1126.5 3.75 -1.57 9.075
"7000413201" "M" "M" 1993 2010 -71.166651 46.333161 1335.5 3.31 -1.67 8.285
"7000413502" "M" "M" 1998 2003 -70.605771 46.382248 1159.5 3.96 -1.175 9.095
"7000413601" "T" "T" 1997 2010 -70.983501 46.383836 1113 4.625 -0.485 9.74
"7000413701" "M" "R" 1993 2010 -71.167129 46.400196 1228 4.61 -0.505 9.725
"7000413702" "T" "T" 1993 2010 -71.163307 46.397051 1227.5 4.61 -0.51 9.73
"7000413802" "M" "M" 1997 2010 -70.798846 46.41638 1219.5 3.29 -1.655 8.24
"7000413901" "M" "M" 1998 2003 -70.533221 46.433428 1188 3.555 -1.54 8.65
"7000413902" "R" "M" 1998 2003 -70.528017 46.434662 1188 3.555 -1.545 8.65
"7000414001" "T" "T" 1997 2010 -70.831765 46.449866 1193 3.62 -1.36 8.6
"7000502101" "T" "T" 1997 2009 -72.732326 45.516815 1113.5 5.61 0.535 10.68
"7000502102" "T" "T" 1997 2009 -72.732184 45.520665 1113.5 5.605 0.535 10.68
"7000502201" "T" "T" 1997 2008 -72.300203 45.532416 1245 4.855 -0.285 10
"7000502302" "M" "M" 1997 2009 -72.420743 45.54894 1163 4.97 -0.095 10.035
"7000502901" "M" "M" 1997 2009 -73.116639 45.749763 1021.5 5.68 0.64 10.71
"7000502902" "M" "M" 1997 2009 -73.116624 45.746308 1022 5.68 0.65 10.715
"7000503001" "T" "T" 1994 2009 -72.483441 45.817166 1121 5.35 0.355 10.345
"7000503101" "T" "T" 1997 2009 -72.965169 45.816909 1017.5 5.62 0.56 10.675
"7000503402" "M" "M" 1997 2009 -73.066961 45.896117 994.5 5.52 0.45 10.595
"7000503601" "T" "T" 1994 2009 -72.382008 45.983668 1125.5 5.07 0.07 10.08
"7000503801" "M" "M" 1994 2009 -72.61677 46.033259 1076 5.31 0.31 10.31
"7000504002" "M" "M" 1994 2009 -72.261705 46.087053 1124.5 5.01 -0.035 10.05
"7000504101" "R" "T" 1994 2009 -72.449392 46.100359 1096 5.11 0.07 10.155
"7000504202" "T" "T" 1994 2009 -72.588181 46.149381 1069 5.15 0.085 10.225
"7000600201" "R" "R" 1993 2003 -70.116726 46.46697 1199 2.475 -3.16 8.115
"7000600202" "R" "M" 1993 2003 -70.119678 46.46366 1198 2.5 -3.14 8.14
"7000600702" "R" "R" 1998 2003 -70.428456 46.552844 1236 2.91 -2.195 8.02
"7000600801" "R" "R" 1998 2003 -70.432682 46.58429 1319.5 1.975 -3.08 7.03
"7000600802" "B" "B" 1998 2003 -70.42842 46.580779 1302.5 2.155 -2.915 7.225
"7000600901" "M" "M" 1992 2010 -71.466892 46.583373 1119.5 5.035 0.045 10.03
"7000601101" "M" "M" 1993 2003 -70.449732 46.617857 1361 1.24 -4 6.48
"7000601102" "M" "M" 1993 2003 -70.452426 46.61439 1330.5 1.65 -3.615 6.92
"7000601202" "T" "M" 1993 2005 -70.786338 46.621009 1300 3.545 -1.69 8.775
"7000601902" "M" "M" 1993 2003 -70.154287 46.701482 1226 2.29 -3.225 7.81
"7000602001" "M" "M" 1993 2003 -70.632704 46.701288 1307 2.54 -2.65 7.73
"7000602002" "T" "T" 1993 2003 -70.632864 46.697348 1314.5 2.425 -2.765 7.61
"7000602101" "M" "M" 1993 2003 -70.783318 46.700385 1312 2.975 -2.14 8.09
"7000602202" "B" "B" 1993 2003 -70.078377 46.719751 1219 2.205 -3.36 7.77
"7000602302" "M" "M" 1993 2003 -70.682393 46.75501 1297.5 2.875 -2.27 8.01
"7000602401" "M" "M" 1993 2003 -70.983259 46.750195 1299.5 3.79 -1.29 8.875
"7000602601" "M" "M" 1993 2003 -70.616998 46.767861 1288 2.78 -2.39 7.955
"7000602602" "M" "M" 1993 2003 -70.614059 46.771175 1290.5 2.74 -2.435 7.91
"7000602702" "M" "M" 1993 2003 -71.053292 46.763822 1311 3.82 -1.26 8.895
"7000602801" "M" "M" 1993 2003 -70.583597 46.783634 1293 2.59 -2.595 7.775
"7000602802" "M" "M" 1993 2003 -70.579397 46.786732 1295.5 2.54 -2.65 7.725
"7000602901" "M" "M" 1993 2003 -71.00019 46.800484 1303.5 3.755 -1.3 8.815
"7000602902" "M" "M" 1993 2003 -71.000199 46.804298 1303.5 3.755 -1.305 8.81
"7000603001" "T" "T" 1993 2003 -69.916462 46.816256 1192.5 2.205 -3.38 7.79
"7000603002" "M" "M" 1993 2003 -69.913008 46.819333 1192.5 2.205 -3.38 7.79
"7000603102" "M" "M" 1993 2003 -70.303726 46.817665 1276.5 1.975 -3.36 7.31
"7000603201" "T" "T" 1993 2003 -70.799301 46.833437 1262.5 3.7 -1.38 8.78
"7000603302" "R" "M" 1993 2003 -70.305923 46.848085 1270 2.055 -3.27 7.38
"7000603401" "M" "M" 1993 2003 -70.199 46.867619 1240.5 2.16 -3.22 7.55
"7000603402" "M" "M" 1993 2003 -70.195793 46.864201 1250.5 2.025 -3.36 7.41
"7000603501" "M" "M" 1993 2003 -70.149101 46.900016 1246.5 1.945 -3.44 7.33
"7000603502" "R" "R" 1993 2003 -70.143755 46.898758 1250 1.89 -3.49 7.275
"7000603601" "B" "R" 1993 2003 -70.398911 46.899862 1275 2.205 -3.045 7.46
"7000603602" "B" "R" 1993 2003 -70.39337 46.900999 1271 2.235 -3.02 7.49
"7000603701" "R" "M" 1993 2003 -70.448917 46.900363 1283 2.23 -3 7.45
"7000603702" "M" "M" 1993 2003 -70.454415 46.901544 1284.5 2.22 -3 7.44
"7000603802" "R" "R" 1993 2003 -70.554772 46.900802 1242.5 3.165 -1.995 8.325
"7000603902" "R" "M" 1993 2003 -70.367765 46.963937 1241 2.515 -2.735 7.765
"7000604101" "M" "M" 1993 2003 -70.148471 47.05051 1222.5 2.06 -3.255 7.37
"7000604102" "R" "R" 1993 2003 -70.152097 47.053571 1215 2.165 -3.145 7.475
"7000604201" "T" "T" 1993 2003 -70.34985 47.050043 1174.5 3.265 -1.97 8.5
"7000604202" "M" "M" 1993 2003 -70.344957 47.048867 1205 2.795 -2.435 8.025
"7000700101" "T" "T" 1997 2008 -71.916268 45.767029 1237.5 4.605 -0.58 9.79
"7000700102" "M" "M" 1997 2008 -71.916682 45.770686 1237 4.6 -0.585 9.78
"7000700301" "M" "M" 1994 2009 -72.165148 45.833011 1174.5 4.9 -0.175 9.97
"7000700302" "T" "T" 1994 2009 -72.165431 45.829253 1174.5 4.9 -0.17 9.97
"7000700401" "R" "T" 1994 2009 -72.114617 45.849947 1167 4.95 -0.14 10.04
"7000700501" "T" "T" 1994 2009 -72.015982 45.884025 1156.5 5.03 -0.1 10.15
"7000700502" "R" "T" 1994 2009 -72.018905 45.880662 1149.5 5.09 -0.045 10.225
"7000700701" "M" "M" 1994 2009 -71.950244 46.099253 1167.5 4.8 -0.26 9.86
"7000700702" "M" "M" 1994 2009 -71.950187 46.094611 1166.5 4.805 -0.26 9.865
"7000700801" "M" "M" 1994 2009 -72.21643 46.115651 1131.5 4.945 -0.11 9.99
"7000701001" "R" "M" 1994 2009 -72.182454 46.166704 1133.5 4.9 -0.16 9.955
"7000701201" "R" "T" 1994 2009 -71.897941 46.232725 1180.5 4.68 -0.37 9.735
"7000701702" "M" "M" 1993 2009 -71.881472 46.320884 1219 4.47 -0.71 9.65
"7000701802" "R" "M" 1995 2009 -72.110992 46.313846 1122.5 5.05 -0.075 10.18
"7000701901" "M" "M" 1992 2009 -71.564964 46.3336 1167.5 4.17 -0.92 9.26
"7000701902" "M" "T" 1992 2009 -71.568335 46.336664 1168.5 4.16 -0.93 9.25
"7000702101" "M" "M" 1994 2009 -72.015894 46.399744 1169 4.555 -0.55 9.655
"7000702102" "M" "R" 1994 2009 -72.012536 46.402715 1170 4.55 -0.555 9.655
"7000702201" "R" "M" 1992 2009 -71.615564 46.41635 1177.5 4.17 -0.94 9.275
"7000702401" "T" "M" 1992 2010 -71.699458 46.449015 1099.5 5.19 0.195 10.18
"7000702502" "M" "R" 1992 2005 -71.833813 46.480429 1215 4.41 -0.745 9.57
"7009300202" "B" "R" 1992 2003 -70.918217 47.446169 1401.5 -0.755 -5.75 4.235
"7009400101" "B" "B" 1995 2007 -70.98273 48.033347 1172 0.97 -4.18 6.125
"7009400102" "B" "B" 1995 2007 -70.979883 48.030103 1220 0.495 -4.64 5.63
"7009400201" "B" "B" 1995 2003 -70.750638 48.06665 1127.5 0.885 -4.225 6
"7009400202" "R" "R" 1995 2003 -70.745326 48.067618 1146 0.7 -4.395 5.795
"7009400301" "R" "R" 1995 2007 -71.016923 48.166989 1023 2.115 -3.15 7.38
"7009400401" "B" "B" 1995 2007 -71.016409 48.184117 1045 1.85 -3.415 7.115
"7009400402" "B" "B" 1995 2007 -71.022032 48.18553 1063.5 1.655 -3.61 6.915
"7009500101" "B" "B" 1992 2003 -71.082902 47.51618 1402 -0.965 -5.97 4.04
"7009500102" "B" "B" 1992 2003 -71.079984 47.512822 1402.5 -0.965 -5.96 4.04
"7009500201" "B" "B" 1992 2003 -70.833359 47.700601 1312.5 -0.46 -5.5 4.575
"7009500202" "R" "R" 1992 2003 -70.827927 47.70175 1295 -0.25 -5.3 4.8
"7009500301" "R" "R" 1992 2003 -70.800148 47.716933 1284.5 -0.18 -5.235 4.875
"7009500302" "B" "R" 1992 2003 -70.795258 47.71789 1290 -0.245 -5.29 4.8
"7009500401" "B" "B" 1992 2003 -70.316228 47.734161 1043.5 2.41 -2.67 7.495
"7009500402" "B" "B" 1992 2003 -70.310526 47.732865 1027.5 2.61 -2.475 7.7
"7009500502" "B" "B" 1992 2003 -70.714025 47.870676 1273.5 -0.51 -5.53 4.51
"7009500601" "R" "R" 1992 2003 -70.599871 47.883137 1281 -0.625 -5.61 4.36
"7009500602" "B" "B" 1992 2003 -70.60318 47.886354 1282.5 -0.645 -5.635 4.335
"7009500701" "R" "B" 1992 2003 -70.784007 47.882766 1298 -0.865 -5.875 4.135
"7009500702" "R" "R" 1992 2003 -70.78744 47.879691 1269 -0.49 -5.53 4.55
"7009500802" "R" "R" 1992 2003 -70.555923 47.900774 1253.5 -0.325 -5.325 4.675
"7009500901" "R" "R" 1992 2003 -70.450215 47.933379 1101 1.41 -3.69 6.505
"7009501001" "R" "R" 1992 2003 -70.783169 47.966769 1268.5 -0.73 -5.755 4.3
"7009501002" "R" "B" 1992 2003 -70.788868 47.965685 1323 -1.43 -6.38 3.53
"7009501102" "R" "R" 1992 2003 -70.519746 48.153328 1079 1.355 -3.83 6.54
"7009600101" "B" "B" 1995 2007 -71.165506 48.150413 1079 1.535 -3.76 6.825
"7009600102" "R" "B" 1995 2007 -71.160112 48.149041 1081.5 1.51 -3.78 6.795
"7009700101" "R" "B" 1992 2003 -70.916522 47.533726 1378.5 -0.73 -5.74 4.275
"7009700102" "B" "B" 1992 2003 -70.922214 47.534587 1374.5 -0.67 -5.69 4.345
"7009700201" "B" "R" 1992 2003 -70.784294 47.650329 1347.5 -0.77 -5.765 4.225
