"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",546.385,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",0.698712,0.5,0,10,"Normal",0
"at1",1.716,0.5,0,5,"Normal",0
"at2",0.82259,0.5,0,5,"Normal",0
"at3",0.329835,0.5,0,5,"Normal",0
"at4",-0.0932199,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.919557,0.5,0,10,"Normal",0
"bb1",-0.25179,0.5,0,5,"Normal",0
"bb2",0.128215,0.5,0,5,"Normal",0
"bb3",-0.277979,0.5,0,5,"Normal",0
"bb4",-0.250131,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.874247,0.5,0,10,"Normal",0
"bt1",-0.0231078,0.5,0,5,"Normal",0
"bt2",0.165542,0.5,0,5,"Normal",0
"bt3",0.0145147,0.5,0,5,"Normal",0
"bt4",-0.150795,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.814954,0.5,0,10,"Normal",0
"tt1",0.592152,0.5,0,5,"Normal",0
"tt2",-0.0851023,0.5,0,5,"Normal",0
"tt3",-0.459448,0.5,0,5,"Normal",0
"tt4",-0.181987,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.12443,0.5,0,10,"Normal",0
"th1",-0.0951637,0.5,0,5,"Normal",0
"th2",-0.155586,0.5,0,5,"Normal",0
"th3",0.411258,0.5,0,5,"Normal",0
"th4",0.160426,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-4.20611,0.5,0,10,"Normal",0
"e1",-0.830856,0.5,0,5,"Normal",0
"e2",0.00936011,0.5,0,5,"Normal",0
"e3",-0.203039,0.5,0,5,"Normal",0
"e4",-0.00446387,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
