"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",523.783,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",0.472463,0.5,0,10,"Normal",0
"at1",1.3249,0.5,0,5,"Normal",0
"at2",0.6556,0.5,0,5,"Normal",0
"at3",0.189236,0.5,0,5,"Normal",0
"at4",-0.207948,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.905928,0.5,0,10,"Normal",0
"bb1",-0.396744,0.5,0,5,"Normal",0
"bb2",0.198284,0.5,0,5,"Normal",0
"bb3",-0.107642,0.5,0,5,"Normal",0
"bb4",-0.101034,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.683085,0.5,0,10,"Normal",0
"bt1",-0.0112758,0.5,0,5,"Normal",0
"bt2",0.114455,0.5,0,5,"Normal",0
"bt3",-0.159104,0.5,0,5,"Normal",0
"bt4",-0.226404,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.760895,0.5,0,10,"Normal",0
"tt1",0.553945,0.5,0,5,"Normal",0
"tt2",-0.0352433,0.5,0,5,"Normal",0
"tt3",-0.350849,0.5,0,5,"Normal",0
"tt4",-0.163235,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.0003,0.5,0,10,"Normal",0
"th1",0.00747835,0.5,0,5,"Normal",0
"th2",-0.162404,0.5,0,5,"Normal",0
"th3",0.305305,0.5,0,5,"Normal",0
"th4",0.0636648,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-4.25225,0.5,0,10,"Normal",0
"e1",-0.865627,0.5,0,5,"Normal",0
"e2",-0.0247715,0.5,0,5,"Normal",0
"e3",-0.206279,0.5,0,5,"Normal",0
"e4",-0.00519363,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
