"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",17.1879,0.5,0,10,"Normal",0
"ab1",17.7314,0.5,0,5,"Normal",0
"ab2",0.596918,0.5,0,5,"Normal",0
"ab3",6.64746,0.5,0,5,"Normal",0
"ab4",-0.626024,0.5,0,5,"Normal",0
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",0.955202,0.5,0,10,"Normal",0
"at1",1.413,0.5,0,5,"Normal",0
"at2",0.194932,0.5,0,5,"Normal",0
"at3",-0.514906,0.5,0,5,"Normal",0
"at4",3.48874,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.838219,0.5,0,10,"Normal",0
"bb1",-0.260303,0.5,0,5,"Normal",0
"bb2",0.205694,0.5,0,5,"Normal",0
"bb3",-0.0584328,0.5,0,5,"Normal",0
"bb4",-0.252263,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.85599,0.5,0,10,"Normal",0
"bt1",0.0614966,0.5,0,5,"Normal",0
"bt2",0.354786,0.5,0,5,"Normal",0
"bt3",-0.0320043,0.5,0,5,"Normal",0
"bt4",-0.148786,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.42213,0.5,0,10,"Normal",0
"tt1",0.505397,0.5,0,5,"Normal",0
"tt2",-0.0741198,0.5,0,5,"Normal",0
"tt3",0.0250833,0.5,0,5,"Normal",0
"tt4",-0.142999,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-2.95122,0.5,0,10,"Normal",0
"th1",-0.0247633,0.5,0,5,"Normal",0
"th2",-0.152197,0.5,0,5,"Normal",0
"th3",0.251256,0.5,0,5,"Normal",0
"th4",0.131167,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-5.94833,0.5,0,10,"Normal",0
"e1",-1.25051,0.5,0,5,"Normal",0
"e2",-0.17189,0.5,0,5,"Normal",0
"e3",-0.315946,0.5,0,5,"Normal",0
"e4",0.0950041,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
