"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",2.95865,0.5,0,10,"Normal",0
"ab1",1.59828,0.5,0,5,"Normal",0
"ab2",1.31674,0.5,0,5,"Normal",0
"ab3",0.0791677,0.5,0,5,"Normal",0
"ab4",0.166003,0.5,0,5,"Normal",0
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",0.861246,0.5,0,10,"Normal",0
"at1",1.59264,0.5,0,5,"Normal",0
"at2",0.605866,0.5,0,5,"Normal",0
"at3",-0.0661135,0.5,0,5,"Normal",0
"at4",-0.078794,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.93599,0.5,0,10,"Normal",0
"bb1",-0.293455,0.5,0,5,"Normal",0
"bb2",0.205226,0.5,0,5,"Normal",0
"bb3",-0.104515,0.5,0,5,"Normal",0
"bb4",-0.113554,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.749791,0.5,0,10,"Normal",0
"bt1",0.0933899,0.5,0,5,"Normal",0
"bt2",0.355729,0.5,0,5,"Normal",0
"bt3",-0.346688,0.5,0,5,"Normal",0
"bt4",-0.136294,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.549073,0.5,0,10,"Normal",0
"tt1",0.36293,0.5,0,5,"Normal",0
"tt2",-0.0345213,0.5,0,5,"Normal",0
"tt3",-0.306727,0.5,0,5,"Normal",0
"tt4",-0.0682803,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.16208,0.5,0,10,"Normal",0
"th1",-0.0257773,0.5,0,5,"Normal",0
"th2",-0.122471,0.5,0,5,"Normal",0
"th3",0.418568,0.5,0,5,"Normal",0
"th4",0.1295,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-4.13736,0.5,0,10,"Normal",0
"e1",-0.832565,0.5,0,5,"Normal",0
"e2",-0.0336613,0.5,0,5,"Normal",0
"e3",-0.220397,0.5,0,5,"Normal",0
"e4",-0.00858735,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
