"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",5.39714,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",0.719416,0.5,0,10,"Normal",0
"at1",1.61032,0.5,0,5,"Normal",0
"at2",0.479107,0.5,0,5,"Normal",0
"at3",-0.136746,0.5,0,5,"Normal",0
"at4",-0.251702,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-1.02538,0.5,0,10,"Normal",0
"bb1",-0.426247,0.5,0,5,"Normal",0
"bb2",0.163267,0.5,0,5,"Normal",0
"bb3",-0.145135,0.5,0,5,"Normal",0
"bb4",-0.126614,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.639605,0.5,0,10,"Normal",0
"bt1",0.0821739,0.5,0,5,"Normal",0
"bt2",0.287687,0.5,0,5,"Normal",0
"bt3",-0.174227,0.5,0,5,"Normal",0
"bt4",-0.212561,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.758976,0.5,0,10,"Normal",0
"tt1",0.460096,0.5,0,5,"Normal",0
"tt2",0.0653424,0.5,0,5,"Normal",0
"tt3",-0.704887,0.5,0,5,"Normal",0
"tt4",-0.144437,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.07688,0.5,0,10,"Normal",0
"th1",-0.0589169,0.5,0,5,"Normal",0
"th2",-0.231455,0.5,0,5,"Normal",0
"th3",0.388067,0.5,0,5,"Normal",0
"th4",0.0625814,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-4.28223,0.5,0,10,"Normal",0
"e1",-0.851609,0.5,0,5,"Normal",0
"e2",-0.0503793,0.5,0,5,"Normal",0
"e3",-0.189656,0.5,0,5,"Normal",0
"e4",0.0056509,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
