"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",1338.38,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",36.4147,0.5,0,10,"Normal",0
"at1",-3.24016,0.5,0,5,"Normal",0
"at2",-0.866911,0.5,0,5,"Normal",0
"at3",-7.60728,0.5,0,5,"Normal",0
"at4",-1.15687,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.833452,0.5,0,10,"Normal",0
"bb1",-0.098469,0.5,0,5,"Normal",0
"bb2",0.0576519,0.5,0,5,"Normal",0
"bb3",-0.322229,0.5,0,5,"Normal",0
"bb4",-0.215398,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.796532,0.5,0,10,"Normal",0
"bt1",0.215917,0.5,0,5,"Normal",0
"bt2",0.252801,0.5,0,5,"Normal",0
"bt3",-0.0930974,0.5,0,5,"Normal",0
"bt4",-0.136101,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.63216,0.5,0,10,"Normal",0
"tt1",0.749421,0.5,0,5,"Normal",0
"tt2",-0.219002,0.5,0,5,"Normal",0
"tt3",-0.225398,0.5,0,5,"Normal",0
"tt4",-0.10833,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.03784,0.5,0,10,"Normal",0
"th1",-0.132631,0.5,0,5,"Normal",0
"th2",-0.0970873,0.5,0,5,"Normal",0
"th3",0.42207,0.5,0,5,"Normal",0
"th4",0.0950232,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-6.08536,0.5,0,10,"Normal",0
"e1",-1.58153,0.5,0,5,"Normal",0
"e2",-0.13203,0.5,0,5,"Normal",0
"e3",-0.426172,0.5,0,5,"Normal",0
"e4",0.0512777,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
