"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",1337.57,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",26.8353,0.5,0,10,"Normal",0
"at1",0.956566,0.5,0,5,"Normal",0
"at2",-2.17745,0.5,0,5,"Normal",0
"at3",-2.77927,0.5,0,5,"Normal",0
"at4",4.38845,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.759744,0.5,0,10,"Normal",0
"bb1",-0.0978133,0.5,0,5,"Normal",0
"bb2",0.199963,0.5,0,5,"Normal",0
"bb3",-0.322229,0.5,0,5,"Normal",0
"bb4",-0.263514,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.796532,0.5,0,10,"Normal",0
"bt1",0.202875,0.5,0,5,"Normal",0
"bt2",0.318826,0.5,0,5,"Normal",0
"bt3",-0.0930974,0.5,0,5,"Normal",0
"bt4",-0.2161,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.571884,0.5,0,10,"Normal",0
"tt1",0.61999,0.5,0,5,"Normal",0
"tt2",-0.0747489,0.5,0,5,"Normal",0
"tt3",-0.50687,0.5,0,5,"Normal",0
"tt4",-0.158869,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.02753,0.5,0,10,"Normal",0
"th1",-0.00414831,0.5,0,5,"Normal",0
"th2",-0.0641596,0.5,0,5,"Normal",0
"th3",0.45981,0.5,0,5,"Normal",0
"th4",0.0592736,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-6.05191,0.5,0,10,"Normal",0
"e1",-1.51026,0.5,0,5,"Normal",0
"e2",0.0696833,0.5,0,5,"Normal",0
"e3",-0.430577,0.5,0,5,"Normal",0
"e4",-0.0237585,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
