"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",3.51228,0.5,0,10,"Normal",0
"ab1",-2.54661,0.5,0,5,"Normal",0
"ab2",1.09549,0.5,0,5,"Normal",0
"ab3",10.5407,0.5,0,5,"Normal",0
"ab4",0.358805,0.5,0,5,"Normal",0
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",33.2675,0.5,0,10,"Normal",0
"at1",-0.332011,0.5,0,5,"Normal",0
"at2",-32.5173,0.5,0,5,"Normal",0
"at3",0.756586,0.5,0,5,"Normal",0
"at4",491.234,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.920912,0.5,0,10,"Normal",0
"bb1",-0.488543,0.5,0,5,"Normal",0
"bb2",0.0846012,0.5,0,5,"Normal",0
"bb3",0.0360283,0.5,0,5,"Normal",0
"bb4",-0.1722,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.797809,0.5,0,10,"Normal",0
"bt1",0.136742,0.5,0,5,"Normal",0
"bt2",0.297298,0.5,0,5,"Normal",0
"bt3",-0.104765,0.5,0,5,"Normal",0
"bt4",-0.157629,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.609903,0.5,0,10,"Normal",0
"tt1",0.628056,0.5,0,5,"Normal",0
"tt2",-0.0838103,0.5,0,5,"Normal",0
"tt3",-0.452232,0.5,0,5,"Normal",0
"tt4",-0.15672,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-2.99766,0.5,0,10,"Normal",0
"th1",-0.0713547,0.5,0,5,"Normal",0
"th2",-0.131593,0.5,0,5,"Normal",0
"th3",0.432203,0.5,0,5,"Normal",0
"th4",0.0570462,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-5.96376,0.5,0,10,"Normal",0
"e1",-1.38305,0.5,0,5,"Normal",0
"e2",-0.0541164,0.5,0,5,"Normal",0
"e3",-0.37633,0.5,0,5,"Normal",0
"e4",-0.0118211,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
