"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",6.05242,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",4.89458,0.5,0,10,"Normal",0
"at1",6.70979,0.5,0,5,"Normal",0
"at2",2.28112,0.5,0,5,"Normal",0
"at3",-2.59581,0.5,0,5,"Normal",0
"at4",9.26672,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-1.09785,0.5,0,10,"Normal",0
"bb1",-0.609142,0.5,0,5,"Normal",0
"bb2",0.209963,0.5,0,5,"Normal",0
"bb3",0.314256,0.5,0,5,"Normal",0
"bb4",-0.107702,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.74962,0.5,0,10,"Normal",0
"bt1",0.177016,0.5,0,5,"Normal",0
"bt2",0.337454,0.5,0,5,"Normal",0
"bt3",-0.0930992,0.5,0,5,"Normal",0
"bt4",-0.158585,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.624762,0.5,0,10,"Normal",0
"tt1",0.572655,0.5,0,5,"Normal",0
"tt2",-0.031583,0.5,0,5,"Normal",0
"tt3",-0.349671,0.5,0,5,"Normal",0
"tt4",-0.143665,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.00267,0.5,0,10,"Normal",0
"th1",-0.0915177,0.5,0,5,"Normal",0
"th2",-0.203258,0.5,0,5,"Normal",0
"th3",0.341417,0.5,0,5,"Normal",0
"th4",0.0895688,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-5.91588,0.5,0,10,"Normal",0
"e1",-1.18081,0.5,0,5,"Normal",0
"e2",0.0250409,0.5,0,5,"Normal",0
"e3",-0.291978,0.5,0,5,"Normal",0
"e4",0.0588875,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
