"name","initialValue","samplerVariance","priorMean","priorSD","priorDist","isConstant"
"ab0",2.25173,0.5,0,10,"Normal",0
"ab1",0,0.5,0,5,"Normal",1
"ab2",0,0.5,0,5,"Normal",1
"ab3",0,0.5,0,5,"Normal",1
"ab4",0,0.5,0,5,"Normal",1
"ab5",0,0.5,0,5,"Normal",1
"ab6",0,0.5,0,5,"Normal",1
"at0",0.977531,0.5,0,10,"Normal",0
"at1",1.96762,0.5,0,5,"Normal",0
"at2",0.59036,0.5,0,5,"Normal",0
"at3",-0.226174,0.5,0,5,"Normal",0
"at4",-0.247712,0.5,0,5,"Normal",0
"at5",0,0.5,0,5,"Normal",1
"at6",0,0.5,0,5,"Normal",1
"bb0",-0.967618,0.5,0,10,"Normal",0
"bb1",-0.387547,0.5,0,5,"Normal",0
"bb2",0.246118,0.5,0,5,"Normal",0
"bb3",-0.214199,0.5,0,5,"Normal",0
"bb4",-0.0891121,0.5,0,5,"Normal",0
"bb5",0,0.5,0,5,"Normal",1
"bb6",0,0.5,0,5,"Normal",1
"bt0",-0.786759,0.5,0,10,"Normal",0
"bt1",-0.0536669,0.5,0,5,"Normal",0
"bt2",0.347986,0.5,0,5,"Normal",0
"bt3",0.0628294,0.5,0,5,"Normal",0
"bt4",-0.169538,0.5,0,5,"Normal",0
"bt5",0,0.5,0,5,"Normal",1
"bt6",0,0.5,0,5,"Normal",1
"tt0",0.652092,0.5,0,10,"Normal",0
"tt1",0.59828,0.5,0,5,"Normal",0
"tt2",-0.0699975,0.5,0,5,"Normal",0
"tt3",-0.0285674,0.5,0,5,"Normal",0
"tt4",-0.146132,0.5,0,5,"Normal",0
"tt5",0,0.5,0,5,"Normal",1
"tt6",0,0.5,0,5,"Normal",1
"th0",-3.13419,0.5,0,10,"Normal",0
"th1",0.0570098,0.5,0,5,"Normal",0
"th2",-0.108123,0.5,0,5,"Normal",0
"th3",0.441995,0.5,0,5,"Normal",0
"th4",0.0987164,0.5,0,5,"Normal",0
"th5",0,0.5,0,5,"Normal",1
"th6",0,0.5,0,5,"Normal",1
"e0",-4.15809,0.5,0,10,"Normal",0
"e1",-0.939285,0.5,0,5,"Normal",0
"e2",0.0015384,0.5,0,5,"Normal",0
"e3",-0.248446,0.5,0,5,"Normal",0
"e4",-0.00608796,0.5,0,5,"Normal",0
"e5",0,0.5,0,5,"Normal",1
"e6",0,0.5,0,5,"Normal",1
