"","id_plot","av_annual_pp","av_annual_mean_tp","av_annual_min_tp","av_annual_max_tp","int","t0","t1"
"75",7000407802,1197,3.83,-1.235,8.895,13,"M","M"
"76",7000407902,1191,4.465,-0.455,9.39,13,"D","D"
"78",7000408801,1200.5,2.17,-3.195,7.535,12,"C","C"
"79",7000408802,1200.5,2.175,-3.185,7.535,12,"C","M"
"81",7000409001,1156,2.69,-2.745,8.12,12,"M","T"
"82",7000409002,1153.5,2.715,-2.725,8.15,12,"D","C"
"83",7000409302,1144.5,4.54,-0.5,9.585,13,"M","C"
"84",7000409702,1075,4.715,-0.555,9.985,13,"M","C"
"85",7000409801,1129.5,4.375,-0.745,9.5,13,"D","D"
"86",7000409802,1136,4.305,-0.81,9.415,13,"M","M"
"87",7000410002,1314,3.725,-1.3,8.75,17,"D","D"
"88",7000410101,1157.5,4.28,-0.75,9.305,13,"M","M"
"89",7000410201,1312,3.73,-1.405,8.87,16,"D","D"
"90",7000410301,1108,2.645,-2.87,8.165,6,"D","D"
"91",7000410302,1104.5,2.7,-2.82,8.22,6,"D","D"
"92",7000410402,1096,2.87,-2.655,8.39,6,"C","C"
"93",7000410501,1206,2.615,-2.795,8.03,8,"C","C"
"94",7000410701,1330,3.715,-1.225,8.655,17,"M","C"
"95",7000410901,1325.5,3.65,-1.325,8.62,17,"T","T"
"96",7000411001,1257,4.29,-0.895,9.465,16,"D","D"
"97",7000411302,1354.5,3.175,-1.96,8.31,16,"D","D"
"98",7000411502,1102,3.25,-2.195,8.695,6,"C","C"
"99",7000411602,1059.5,4.965,-0.245,10.175,13,"M","M"
"100",7000411701,1121.5,4.405,-0.695,9.51,13,"D","D"
"101",7000412202,1281,3.965,-1.07,9,17,"D","D"
"102",7000412402,1121,3.915,-1.385,9.215,5,"D","D"
"103",7000412701,1214.5,3.555,-1.4,8.51,13,"M","M"
"104",7000412901,1159.5,4.46,-0.78,9.69,7,"D","D"
"105",7000413002,1126.5,3.75,-1.57,9.075,5,"M","C"
"106",7000413201,1335.5,3.31,-1.67,8.285,17,"C","C"
"107",7000413502,1159.5,3.96,-1.175,9.095,5,"M","M"
"108",7000413601,1113,4.625,-0.485,9.74,13,"D","D"
"109",7000413701,1228,4.61,-0.505,9.725,17,"M","M"
"110",7000413702,1227.5,4.61,-0.51,9.73,17,"D","D"
"111",7000413802,1219.5,3.29,-1.655,8.24,13,"M","M"
"112",7000413901,1188,3.555,-1.54,8.65,5,"T","M"
"113",7000413902,1188,3.555,-1.545,8.65,5,"C","M"
"114",7000414001,1193,3.62,-1.36,8.6,13,"D","D"
"115",7000414201,1200,5.185,0.12,10.245,17,"M","C"
"116",7000502101,1113.5,5.61,0.535,10.68,12,"M","M"
"117",7000502102,1113.5,5.605,0.535,10.68,12,"D","D"
"118",7000502201,1245,4.855,-0.285,10,11,"M","M"
"119",7000502302,1163,4.97,-0.095,10.035,12,"M","C"
"120",7000502901,1021.5,5.68,0.64,10.71,12,"D","M"
"121",7000502902,1022,5.68,0.65,10.715,12,"M","M"
"122",7000503001,1121,5.35,0.355,10.345,15,"D","D"
"123",7000503101,1017.5,5.62,0.56,10.675,12,"D","D"
"124",7000503402,994.5,5.52,0.45,10.595,12,"C","M"
"125",7000503601,1125.5,5.07,0.07,10.08,15,"D","D"
"126",7000503801,1076,5.31,0.31,10.31,15,"M","M"
"127",7000504002,1124.5,5.01,-0.035,10.05,15,"M","M"
"128",7000504101,1096,5.11,0.07,10.155,15,"D","M"
"129",7000504202,1069,5.15,0.085,10.225,15,"D","D"
"130",7000600201,1199,2.475,-3.16,8.115,10,"M","C"
