"" "" "state_quad"
"246" "20" "480" "M"
"247" "20" "500" "M"
"248" "0" "500" "M"
"249" "0" "520" "M"
"250" "20" "520" "D"
"251" "20" "540" "D"
"252" "0" "540" "D"
"253" "0" "560" "T"
"254" "20" "560" "D"
"255" "20" "580" "M"
"256" "0" "580" "D"
"257" "0" "600" "T"
"258" "20" "600" "D"
"259" "20" "620" "M"
"260" "0" "620" "M"
"261" "0" "640" "M"
"262" "20" "640" "M"
"263" "20" "660" "M"
"264" "0" "660" "D"
"265" "0" "680" "M"
"266" "20" "680" "M"
"267" "20" "700" "D"
"268" "0" "700" "T"
"269" "0" "720" "T"
"270" "20" "720" "T"
"271" "20" "740" "T"
"272" "0" "740" "T"
"273" "0" "760" "M"
"274" "20" "760" "M"
"275" "20" "780" "M"
"276" "0" "780" "T"
"277" "20" "800" "M"
"278" "0" "800" "M"
"279" "0" "820" "M"
"280" "20" "820" "M"
"281" "20" "840" "M"
"282" "0" "840" "M"
"283" "0" "860" "M"
"284" "20" "860" "M"
"285" "20" "880" "T"
"286" "0" "880" "M"
"287" "0" "900" "T"
"288" "20" "900" "M"
"289" "20" "920" "M"
"290" "0" "920" "M"
"291" "0" "940" "T"
"292" "20" "940" "T"
"293" "20" "960" "T"
"294" "0" "960" "M"
"295" "0" "980" "M"
"296" "20" "980" "M"
"297" "120" "0" "M"
"298" "140" "0" "M"
"299" "140" "20" "M"
"300" "120" "20" "D"
"301" "120" "40" "D"
"302" "140" "40" "M"
"303" "140" "60" "T"
"304" "120" "60" "M"
"305" "120" "80" "M"
"306" "140" "80" "D"
"307" "140" "100" "T"
"308" "120" "100" "M"
"309" "120" "120" "M"
"310" "140" "120" "D"
"311" "140" "140" "D"
"312" "120" "140" "D"
"313" "120" "160" "D"
"314" "140" "160" "D"
"315" "140" "180" "T"
"316" "120" "180" "T"
"317" "120" "200" "M"
"318" "140" "200" "D"
"319" "140" "220" "M"
"320" "120" "220" "D"
"321" "120" "240" "T"
"322" "140" "240" "M"
"323" "140" "260" "T"
"324" "120" "260" "T"
