"" "" "state_quad"
"246" "300" "100" "M"
"247" "300" "120" "C"
"248" "300" "140" "M"
"249" "300" "160" "M"
"250" "300" "180" "M"
"251" "300" "200" "M"
"252" "300" "220" "M"
"253" "300" "240" "M"
"254" "300" "260" "M"
"255" "300" "280" "M"
"256" "300" "300" "M"
